Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Fixed Date
432,The Amazing Spider-Man 2,2014,Misc,Activision,0,0,0,0,0,1/1/2014
433,Mega Man Legacy Collection,2016,Platform,Capcom,0,0,0,0,0,1/1/2016
434,A Boy and His Blob,N/A,Platform,,0,0,0,0,0,#VALUE!
435,Agatha Christie: The ABC Murders,2016,Adventure,Microids,0,0,0,0,0,1/1/2016
436,Ancients of Ooga - The Forgotten Chapters,2016,Platform,Koch Media,0,0,0,0,0,1/1/2016
437,Another World,N/A,Adventure,,0,0,0,0,0,#VALUE!
438,Bladestorm: The Hundred Years' War,2015,Action,BioWare,0,0,0,0,0,1/1/2015
439,Brothers in Arms: Furious 4,2019,Shooter,Ubisoft,0,0,0,0,0,1/1/2019
440,Buzz Buzz Bang,N/A,Action,,0,0,0,0,0,#VALUE!
441,Woolfe: The Red Hood Diaries,N/A,Adventure,,0,0,0,0,0,#VALUE!
442,SlashDash,N/A,Action,,0,0,0,0,0,#VALUE!
443,Devil May Cry 4,2015,Action,Capcom,0,0,0,0,0,1/1/2015
444,#IDARB,N/A,Action,,0,0,0,0,0,#VALUE!
445,Frog Toss,N/A,Misc,,0,0,0,0,0,#VALUE!
446,Gran Turismo 5 Prologue Spec III,2014,Misc,Wizards of the Coast,0,0,0,0,0,1/1/2014
447,Industry Giant II,2017,Strategy,UIG Entertainment,0,0,0,0,0,1/1/2017
448,Killer Instinct,2020,Misc,Microsoft Game Studios,0,0,0,0,0,1/1/2020
449,King's Quest I: Quest for the Crown (VGA Version),N/A,Misc,,0,0,0,0,0,#VALUE!
450,LIMBO,N/A,Platform,,0,0,0,0,0,#VALUE!
451,Mount & Blade: Warband,2016,Role-Playing,Koch Media,0,0,0,0,0,1/1/2016
452,Neverwinter,N/A,Role-Playing,,0,0,0,0,0,#VALUE!
453,Pier Solar and the Great Architects,N/A,Role-Playing,,0,0,0,0,0,#VALUE!
454,Spectra 8bit Racing,N/A,Racing,,0,0,0,0,0,#VALUE!
455,Nero,N/A,Puzzle,,0,0,0,0,0,#VALUE!
456,Pinball FX 2,N/A,Misc,,0,0,0,0,0,#VALUE!
457,Gran Turismo HD Concept,N/A,Misc,,0,0,0,0,0,#VALUE!
458,Dear Esther,N/A,Adventure,,0,0,0,0,0,#VALUE!
459,Lightning Returns: Final Fantasy XIII,2013,Misc,Square Enix,0,0,0,0,0,1/1/2013
460,Oddworld: Abe's Oddysee New N' Tasty!,N/A,Platform,,0,0,0,0,0,#VALUE!
461,Lifeless Planet,N/A,Puzzle,,0,0,0,0,0,#VALUE!
462,Slender: The Arrival,2015,Adventure,Unknown,0,0,0,0,0,1/1/2015
463,Lovers in a Dangerous Spacetime,N/A,Action,,0,0,0,0,0,#VALUE!
464,Human Element,2015,Misc,Unknown,0,0,0,0,0,1/1/2015
465,Whore of the Orient,2020,Misc,Warner Bros. Interactive Entertainment,0,0,0,0,0,1/1/2020
466,Max: the Curse of Brotherhood,N/A,Action-Adventure,,0,0,0,0,0,#VALUE!
467,Axiom Verge,N/A,Action,,0,0,0,0,0,#VALUE!
468,Guacamelee!,N/A,Action,,0,0,0,0,0,#VALUE!
469,Carmageddon: Reincarnation,2015,Misc,Stainless Games,0,0,0,0,0,1/1/2015
470,The Banner Saga,N/A,Role-Playing,,0,0,0,0,0,#VALUE!
471,Cobalt,N/A,Action,,0,0,0,0,0,#VALUE!
472,Plague Inc.,N/A,Strategy,,0,0,0,0,0,#VALUE!
473,BADLAND,N/A,Action,,0,0,0,0,0,#VALUE!
474,Halo: Spartan Assault,N/A,Shooter,,0,0,0,0,0,#VALUE!
475,Halo 6,2020,Shooter,Microsoft Game Studios,0,0,0,0,0,1/1/2020
476,D4,N/A,Adventure,,0,0,0,0,0,#VALUE!
477,Crimson Dragon,N/A,Shooter,,0,0,0,0,0,#VALUE!
478,Below,N/A,Action-Adventure,,0,0,0,0,0,#VALUE!
479,Peggle 2,N/A,Misc,,0,0,0,0,0,#VALUE!
480,LocoCycle,N/A,Action,,0,0,0,0,0,#VALUE!
481,Powerstar Golf,N/A,Sports,,0,0,0,0,0,#VALUE!
482,Kingdom Hearts III,2019,Role-Playing,Square Enix,0,0,0,0,0,1/1/2019
