Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Fixed Date
1,Grand Theft Auto V,2014,Action,Rockstar Games,4.7,3.25,0.01,0.76,8.72,1/1/2014
2,Call of Duty: Black Ops 3,2015,Shooter,Activision,4.63,2.04,0.02,0.68,7.37,1/1/2015
3,Call of Duty: WWII,2017,Shooter,Activision,3.75,1.91,0,0.57,6.23,1/1/2017
4,Red Dead Redemption 2,2018,Action-Adventure,Rockstar Games,3.76,1.47,0,0.54,5.77,1/1/2018
5,MineCraft,2014,Misc,Microsoft Studios,3.23,1.71,0,0.49,5.43,1/1/2014
6,Call of Duty: Advanced Warfare,2014,Shooter,Activision,3.25,1.49,0.01,0.48,5.22,1/1/2014
7,Battlefield 1,2016,Shooter,Electronic Arts,3.37,1.26,0.02,0.48,5.13,1/1/2016
8,Fallout 4,2015,Role-Playing,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03,1/1/2015
9,Halo 5: Guardians,2015,Shooter,Microsoft Studios,2.94,1.49,0.03,0.45,4.92,1/1/2015
10,Call of Duty: Infinite Warfare,2016,Shooter,Activision,2.91,1.44,0,0.44,4.79,1/1/2016
11,Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,2.49,1.26,0.02,0.38,4.15,1/1/2015
12,Forza Horizon 3,2016,Racing,Microsoft Studios,1.64,1.96,0.02,0.32,3.93,1/1/2016
13,FIFA 17,2016,Sports,Electronic Arts,1.04,2.4,0,0.27,3.71,1/1/2016
14,Gears of War: Ultimate Edition,2015,Shooter,Microsoft Studios,2.88,0.37,0,0.37,3.62,1/1/2015
15,Assassin's Creed: Unity,2014,Action,Ubisoft,2.34,0.9,0,0.34,3.58,1/1/2014
16,Halo: The Master Chief Collection,2014,Shooter,Microsoft Studios,2.06,1.04,0.03,0.31,3.44,1/1/2014
17,Destiny,2014,Shooter,Activision,2.17,0.92,0,0.32,3.41,1/1/2014
18,Gears of War 4,2016,Shooter,Microsoft Studios,2.17,0.9,0,0.32,3.38,1/1/2016
19,FIFA 16,2015,Sports,EA Sports,0.92,2.1,0,0.24,3.25,1/1/2015
20,FIFA 18,2017,Sports,EA Sports,0.98,1.92,0,0.23,3.14,1/1/2017
21,Titanfall,2014,Shooter,Electronic Arts,1.88,0.91,0.04,0.28,3.11,1/1/2014
22,Call of Duty: Ghosts,2013,Shooter,Activision,1.92,0.86,0,0.28,3.07,1/1/2013
